Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,23,18,29,14,84
Qualified ,6,9,10,8,33
Qualified (in %),26.09%,50%,34.48%,57.14%,39.29% Average
House Wise Participation V,5,1,6,3,15
House Wise Participation S,8,4,4,1,17
House Wise Participation N,6,5,8,4,23
House Wise Participation H,4,8,11,6,29
Qualified V,0,1,2,1,4
Qualified S,3,2,1,0,6
Qualified N,2,2,3,3,10
Qualified H,1,4,4,4,13
Maximum Distance,4.85,4.41,6.02,5.44,6.02
Total Points,17,19,20,19,75
Points  V,0,5,5,5,15
Points S,11,4,1,0,16
Points N,4,2,9,6,21
Points H,2,8,5,8,23